abseil	C++ Common Libraries	https://abseil.io
ada-url	WHATWG-compliant and fast URL parser written in modern C++	https://ada-url.com
aom	Codec library for encoding and decoding AV1 video streams	https://aomedia.googlesource.com/aom
aribb24	Library for ARIB STD-B24, decoding JIS 8 bit characters and parsing MPEG-TS	https://code.videolan.org/jeeb/aribb24
at-spi2-core	Protocol definitions and daemon for D-Bus at-spi	https://www.freedesktop.org/wiki/Accessibility/AT-SPI2/
atuin	Improved shell history for zsh, bash, fish and nushell	https://atuin.sh/
bash	Bourne-Again SHell, a UNIX command interpreter	https://www.gnu.org/software/bash/
bat	Clone of cat(1) with syntax highlighting and Git integration	https://github.com/sharkdp/bat
bird	Fast X CLI for tweeting, replying, and reading — ⚠️ upstream repo 404s (verified); may fail on a fresh install	https://github.com/steipete/bird
brotli	Generic-purpose lossless compression algorithm by Google	https://github.com/google/brotli
c-ares	Asynchronous DNS library	https://c-ares.org/
ca-certificates	Mozilla CA certificate store	https://curl.se/docs/caextract.html
cairo	Vector graphics library with cross-device output support	https://cairographics.org/
cargo-nextest	Next-generation test runner for Rust	https://nexte.st
certifi	Mozilla CA bundle for Python	https://github.com/certifi/python-certifi
cffi	C Foreign Function Interface for Python	https://cffi.readthedocs.io/en/latest/
cjson	Ultralightweight JSON parser in ANSI C	https://github.com/DaveGamble/cJSON
cliclick	Tool for emulating mouse and keyboard events	https://www.bluem.net/jump/cliclick/
cloudflared	Cloudflare Tunnel client (formerly Argo Tunnel)	https://developers.cloudflare.com/cloudflare-one/networks/connectors/cloudflare-tunnel/
criterion	Cross-platform C and C++ unit testing framework for the 21st century	https://github.com/Snaipe/Criterion
cryptography	Cryptographic recipes and primitives for Python	https://cryptography.io/en/latest/
dav1d	AV1 decoder targeted to be small and fast	https://code.videolan.org/videolan/dav1d
dbus	Message bus system, providing inter-application communication	https://wiki.freedesktop.org/www/Software/dbus
deno	Secure runtime for JavaScript and TypeScript	https://deno.com/
direnv	Load/unload environment variables based on $PWD	https://direnv.net/
docker	Pack, ship and run any application as a lightweight container	https://www.docker.com/
eza	Modern, maintained replacement for ls	https://eza.rocks
fd	Simple, fast and user-friendly alternative to find	https://github.com/sharkdp/fd
ffmpeg	Play, record, convert, and stream select audio and video codecs	https://ffmpeg.org/
ffmpeg-full	Play, record, convert, and stream many audio and video codecs	https://ffmpeg.org/
flac	Free lossless audio codec	https://xiph.org/flac/
flyctl	Command-line tools for fly.io services	https://fly.io
fmt	Open-source formatting library for C++	https://fmt.dev/
fontconfig	XML-based font configuration API for X Windows	https://wiki.freedesktop.org/www/Software/fontconfig/
freetype	Software library to render fonts	https://www.freetype.org/
frei0r	Minimalistic plugin API for video effects	https://frei0r.dyne.org/
fribidi	Implementation of the Unicode BiDi algorithm	https://github.com/fribidi/fribidi
fzf	Command-line fuzzy finder written in Go	https://junegunn.github.io/fzf/
fzf-tab	Replace zsh completion selection menu with fzf	https://github.com/Aloxaf/fzf-tab
gdk-pixbuf	Toolkit for image loading and pixel buffer manipulation	https://gtk.org
gemini-cli	Interact with Google Gemini AI models from the command-line	https://geminicli.com
gettext	GNU internationalization (i18n) and localization (l10n) library	https://www.gnu.org/software/gettext/
ggml	Tensor library for machine learning	https://github.com/ggml-org/ggml
gh	GitHub command-line tool	https://cli.github.com/
ghostscript	Interpreter for PostScript and PDF	https://www.ghostscript.com/
giflib	Library and utilities for processing GIFs	https://giflib.sourceforge.net/
git	Distributed revision control system	https://git-scm.com
git-delta	Syntax-highlighting pager for git and diff output	https://dandavison.github.io/delta/
gitui	Blazing fast terminal-ui for git written in rust	https://github.com/gitui-org/gitui
glib	Core application library for C	https://docs.gtk.org/glib/
gmp	GNU multiple precision arithmetic library	https://gmplib.org/
gnupg	GNU Privacy Guard (OpenPGP)	https://gnupg.org/
gnutls	GNU Transport Layer Security (TLS) Library	https://gnutls.org/
