peekaboo	Lightning-fast macOS screenshots & AI vision analysis	https://github.com/openclaw/Peekaboo
gifgrep	Grep the GIF. Stick the landing	https://github.com/steipete/gifgrep
imsg	Send and read iMessage / SMS from the terminal	https://github.com/openclaw/imsg
sag	Command-line ElevenLabs TTS with mac-style flags	https://github.com/steipete/sag
songsee	Spectral visualization CLI for audio files	https://github.com/openclaw/songsee
remindctl	Fast CLI for Apple Reminders	https://github.com/steipete/remindctl
wacli	WhatsApp CLI built on whatsmeow	https://github.com/openclaw/wacli
memo	CLI app to manage your Apple Notes and Apple reminders	https://github.com/antoniorodr/memo
obsidian-cli		https://github.com/Yakitrak/obsidian-cli
freeze	Generate images of code and terminal output.	https://charm.sh/
